a = -230.610201; b = 3511718.077515; cout = 9634090322012.396484
a = -229.178018; b = 3521582.587664; cout = 9609664414359.335938
a = -227.745835; b = 3531447.097814; cout = 9585433861748.599609
a = -226.313652; b = 3541311.607963; cout = 9561398664180.173828
a = -224.881469; b = 3551176.118112; cout = 9537558821654.068359
a = -223.449286; b = 3561040.628262; cout = 9513914334170.279297
a = -222.017103; b = 3570905.138411; cout = 9490465201728.810547
a = -220.584920; b = 3580769.648561; cout = 9467211424329.656250
a = -219.152737; b = 3590634.158710; cout = 9444153001972.824219
a = -217.720554; b = 3600498.668859; cout = 9421289934658.308594
a = -216.288371; b = 3610363.179009; cout = 9398622222386.107422
a = -214.856188; b = 3620227.689158; cout = 9376149865156.226562
a = -213.424005; b = 3630092.199307; cout = 9353872862968.666016
a = -211.991822; b = 3639956.709457; cout = 9331791215823.419922
a = -210.559639; b = 3649821.219606; cout = 9309904923720.498047
a = -209.127456; b = 3659685.729756; cout = 9288213986659.884766
a = -207.695273; b = 3669550.239905; cout = 9266718404641.595703
a = -206.263090; b = 3679414.750054; cout = 9245418177665.623047
a = -204.830907; b = 3689279.260204; cout = 9224313305731.968750
a = -203.398724; b = 3699143.770353; cout = 9203403788840.632812
a = -201.966541; b = 3709008.280502; cout = 9182689626991.611328
a = -200.534359; b = 3718872.790652; cout = 9162170820184.912109
a = -199.102176; b = 3728737.300801; cout = 9141847368420.529297
a = -197.669993; b = 3738601.810951; cout = 9121719271698.460938
a = -196.237810; b = 3748466.321100; cout = 9101786530018.716797
a = -194.805627; b = 3758330.831249; cout = 9082049143381.285156
a = -193.373444; b = 3768195.341399; cout = 9062507111786.175781
a = -191.941261; b = 3778059.851548; cout = 9043160435233.380859
a = -190.509078; b = 3787924.361697; cout = 9024009113722.906250
a = -189.076895; b = 3797788.871847; cout = 9005053147254.751953
a = -187.644712; b = 3807653.381996; cout = 8986292535828.908203
a = -186.212529; b = 3817517.892145; cout = 8967727279445.384766
a = -184.780346; b = 3827382.402295; cout = 8949357378104.181641
a = -183.348163; b = 3837246.912444; cout = 8931182831805.296875
a = -181.915980; b = 3847111.422594; cout = 8913203640548.728516
a = -180.483797; b = 3856975.932743; cout = 8895419804334.472656
a = -179.051614; b = 3866840.442892; cout = 8877831323162.542969
a = -177.619431; b = 3876704.953042; cout = 8860438197032.931641
a = -176.187248; b = 3886569.463191; cout = 8843240425945.638672
a = -174.755065; b = 3896433.973340; cout = 8826238009900.654297
a = -173.322882; b = 3906298.483490; cout = 8809430948897.996094
a = -171.890699; b = 3916162.993639; cout = 8792819242937.651367
a = -170.458516; b = 3926027.503789; cout = 8776402892019.626953
a = -169.026333; b = 3935892.013938; cout = 8760181896143.919922
a = -167.594150; b = 3945756.524087; cout = 8744156255310.531250
a = -166.161967; b = 3955621.034237; cout = 8728325969519.461914
a = -164.729784; b = 3965485.544386; cout = 8712691038770.707031
a = -163.297601; b = 3975350.054535; cout = 8697251463064.272461
a = -161.865418; b = 3985214.564685; cout = 8682007242400.153320
a = -160.433235; b = 3995079.074834; cout = 8666958376778.355469
a = -159.001052; b = 4004943.584984; cout = 8652104866198.875977
