a = 3482139.775109; b = 4527769.226884; cout = 835214477569.827515
a = 3482114.564512; b = 4537632.749773; cout = 842141895410.530029
a = 3482115.996695; b = 4547497.259922; cout = 849137019236.423828
a = 3482117.428878; b = 4557361.770071; cout = 856327498104.629150
a = 3482118.861061; b = 4567226.280221; cout = 863713332015.150269
a = 3482120.293244; b = 4577090.790370; cout = 871294520967.994385
a = 3482121.725427; b = 4586955.300519; cout = 879071064963.159790
a = 3482119.864278; b = 4596819.481752; cout = 887051974878.305298
a = 3492002.563045; b = 4261429.214035; cout = 628934339963.927124
a = 3491968.473215; b = 4271292.407923; cout = 633541101042.895142
a = 3491969.905398; b = 4281156.918072; cout = 638098101431.114380
a = 3491971.337581; b = 4291021.428221; cout = 642850456861.645996
a = 3491972.769764; b = 4300885.938371; cout = 647798167334.487427
a = 3491974.201947; b = 4310750.448520; cout = 652941232849.656128
a = 3491975.634130; b = 4320614.958669; cout = 658279653407.143188
a = 3491977.066313; b = 4330479.468819; cout = 663813429006.941406
a = 3491978.498496; b = 4340343.978968; cout = 669542559649.062866
a = 3491979.930679; b = 4350208.489118; cout = 675467045333.498047
a = 3491981.362862; b = 4360072.999267; cout = 681586886060.258911
a = 3491982.795045; b = 4369937.509416; cout = 687902081829.331787
a = 3491984.227228; b = 4379802.019566; cout = 694412632640.723145
a = 3491985.659411; b = 4389666.529715; cout = 701118538494.429443
a = 3491987.091594; b = 4399531.039864; cout = 708019799390.458740
a = 3491988.523777; b = 4409395.550014; cout = 715116415328.802490
a = 3491989.955960; b = 4419260.060163; cout = 722408386309.467163
a = 3491991.388143; b = 4429124.570312; cout = 729895712332.449219
a = 3491992.820326; b = 4438989.080462; cout = 737578393397.746094
a = 3491994.252509; b = 4448853.590611; cout = 745456429505.363892
a = 3491995.684692; b = 4458718.100761; cout = 753529820655.297974
a = 3491997.116875; b = 4468582.610910; cout = 761798566847.549683
a = 3491998.549058; b = 4478447.121059; cout = 770262668082.122925
a = 3491999.981241; b = 4488311.631209; cout = 778922124359.010010
a = 3491998.120092; b = 4498175.812441; cout = 787776789289.554810
a = 3501865.356056; b = 3995089.201444; cout = 467645042785.114990
a = 3501822.381918; b = 4004952.066073; cout = 469968649914.630920
a = 3501823.814101; b = 4014816.576222; cout = 472087526865.166443
a = 3501825.246284; b = 4024681.086371; cout = 474401758858.018005
a = 3501826.678467; b = 4034545.596521; cout = 476911345893.187195
a = 3501828.110650; b = 4044410.106670; cout = 479616287970.676514
a = 3501829.542833; b = 4054274.616819; cout = 482516585090.484070
a = 3501830.975016; b = 4064139.126969; cout = 485612237252.614380
a = 3501832.407199; b = 4074003.637118; cout = 488903244457.051758
a = 3501833.839382; b = 4083868.147267; cout = 492389606703.813232
a = 3501835.271565; b = 4093732.657417; cout = 496071323992.889465
a = 3501836.703748; b = 4103597.167566; cout = 499948396324.295471
a = 3501838.135931; b = 4113461.677716; cout = 504020823698.006775
a = 3501839.568114; b = 4123326.187865; cout = 508288606114.037170
a = 3501841.000297; b = 4133190.698014; cout = 512751743572.389221
a = 3501842.432480; b = 4143055.208164; cout = 517410236073.050964
a = 3501843.864663; b = 4152919.718313; cout = 522264083616.043701
a = 3501845.296846; b = 4162784.228462; cout = 527313286201.348999
a = 3501846.729029; b = 4172648.738612; cout = 532557843828.974365
a = 3501848.161212; b = 4182513.248761; cout = 537997756498.909607
a = 3501849.593395; b = 4192377.758911; cout = 543633024211.170593
a = 3501851.025578; b = 4202242.269060; cout = 549463646965.749207
a = 3501852.457761; b = 4212106.779209; cout = 555489624762.642822
a = 3501853.889944; b = 4221971.289359; cout = 561710957601.850952
a = 3501855.322127; b = 4231835.799508; cout = 568127645483.381348
a = 3501856.754310; b = 4241700.309657; cout = 574739688407.230103
a = 3501858.186493; b = 4251564.819807; cout = 581547086373.395630
a = 3501859.618676; b = 4261429.329956; cout = 588549839381.878784
a = 3501861.050859; b = 4271293.840106; cout = 595747947432.679810
a = 3501862.483042; b = 4281158.350255; cout = 603141410525.797974
a = 3501863.915225; b = 4291022.860404; cout = 610730228661.235474
a = 3501865.347407; b = 4300887.370554; cout = 618514401838.992798
a = 3501866.779590; b = 4310751.880703; cout = 626493930059.063843
a = 3501868.211773; b = 4320616.390852; cout = 634668813321.453369
a = 3501869.643956; b = 4330480.901002; cout = 643039051626.164062
a = 3501871.076139; b = 4340345.411151; cout = 651604644973.189941
a = 3501872.508322; b = 4350209.921300; cout = 660365593362.533325
a = 3501873.940505; b = 4360074.431450; cout = 669321896794.195557
a = 3501875.372688; b = 4369938.941599; cout = 678473555268.173584
a = 3501876.804871; b = 4379803.451749; cout = 687820568784.474854
a = 3501878.237054; b = 4389667.961898; cout = 697362937343.090942
a = 3501866.510996; b = 4399531.157148; cout = 707063525582.053833
a = 3511728.141456; b = 3728749.188466; cout = 351346694766.123657
a = 3511676.290621; b = 3738611.724222; cout = 351424542025.730469
a = 3511677.722804; b = 3748476.234372; cout = 351105295538.580994
a = 3511679.154987; b = 3758340.744521; cout = 350981404093.761597
a = 3511680.587170; b = 3768205.254671; cout = 351052867691.249634
a = 3511682.019353; b = 3778069.764820; cout = 351319686331.063110
a = 3511683.451536; b = 3787934.274969; cout = 351781860013.193665
a = 3511684.883719; b = 3797798.785119; cout = 352439388737.646606
a = 3511686.315902; b = 3807663.295268; cout = 353292272504.410278
a = 3511687.748085; b = 3817527.805417; cout = 354340511313.490662
a = 3511689.180268; b = 3827392.315567; cout = 355584105164.893250
a = 3511690.612451; b = 3837256.825716; cout = 357023054058.614136
a = 3511692.044634; b = 3847121.335866; cout = 358657357994.646118
a = 3511693.476817; b = 3856985.846015; cout = 360487016973.005737
a = 3511694.909000; b = 3866850.356164; cout = 362512030993.683411
a = 3511696.341183; b = 3876714.866314; cout = 364732400056.681885
a = 3511697.773366; b = 3886579.376463; cout = 367148124161.986206
a = 3511699.205549; b = 3896443.886612; cout = 369759203309.613220
a = 3511700.637732; b = 3906308.396762; cout = 372565637499.556274
a = 3511702.069915; b = 3916172.906911; cout = 375567426731.821228
a = 3511703.502098; b = 3926037.417061; cout = 378764571006.399597
a = 3511704.934281; b = 3935901.927210; cout = 382157070323.299255
a = 3511706.366464; b = 3945766.437359; cout = 385744924682.514526
a = 3511707.798647; b = 3955630.947509; cout = 389528134084.055359
a = 3511709.230830; b = 3965495.457658; cout = 393506698527.904602
a = 3511710.663013; b = 3975359.967807; cout = 397680618014.079712
a = 3511712.095196; b = 3985224.477957; cout = 402049892542.564697
a = 3511713.527379; b = 3995088.988106; cout = 406614522113.371399
a = 3511714.959561; b = 4004953.498256; cout = 411374506726.494019
a = 3511716.391744; b = 4014818.008405; cout = 416329846381.937805
a = 3511717.823927; b = 4024682.518554; cout = 421480541079.698181
a = 3511719.256110; b = 4034547.028704; cout = 426826590819.780151
a = 3511720.688293; b = 4044411.538853; cout = 432367995602.173096
a = 3511722.120476; b = 4054276.049002; cout = 438104755426.889709
a = 3511723.552659; b = 4064140.559152; cout = 444036870293.921509
a = 3511724.984842; b = 4074005.069301; cout = 450164340203.272766
a = 3511726.417025; b = 4083869.579450; cout = 456487165154.935913
a = 3511727.849208; b = 4093734.089600; cout = 463005345148.923828
a = 3511729.281391; b = 4103598.599749; cout = 469718880185.231018
a = 3511730.713574; b = 4113463.109899; cout = 476627770263.850037
a = 3511732.145757; b = 4123327.620048; cout = 483732015384.788452
a = 3511733.577940; b = 4133192.130197; cout = 491031615548.047607
a = 3511735.010123; b = 4143056.640347; cout = 498526570753.623413
a = 3511736.442306; b = 4152921.150496; cout = 506216881001.514771
a = 3511737.874489; b = 4162785.660645; cout = 514102546291.724792
a = 3511739.306672; b = 4172650.170795; cout = 522183566624.257874
a = 3511740.738855; b = 4182514.680944; cout = 530459941999.103821
a = 3511742.171038; b = 4192379.191094; cout = 538931672416.269653
a = 3511743.603221; b = 4202243.701243; cout = 547598757875.751709
a = 3511745.035404; b = 4212108.211392; cout = 556461198377.553223
a = 3511746.467587; b = 4221972.721542; cout = 565518993921.669312
a = 3511747.899770; b = 4231837.231691; cout = 574772144508.108887
a = 3511749.331953; b = 4241701.741840; cout = 584220650136.863037
a = 3511750.764136; b = 4251566.251990; cout = 593864510807.932983
a = 3511752.196319; b = 4261430.762139; cout = 603703726521.320435
a = 3511753.628502; b = 4271295.272289; cout = 613738297277.028687
a = 3511755.060685; b = 4281159.782438; cout = 623968223075.056641
a = 3511756.492868; b = 4291024.292587; cout = 634393503915.396484
a = 3521534.495873; b = 3501864.912821; cout = 270222732728.686920
a = 3521535.928056; b = 3511729.422970; cout = 268051427930.810669
a = 3521537.360239; b = 3521593.933119; cout = 266075478175.264771
a = 3521538.792422; b = 3531458.443269; cout = 264294883462.046173
a = 3521540.224605; b = 3541322.953418; cout = 262709643791.129486
a = 3521541.656788; b = 3551187.463567; cout = 261319759162.541779
a = 3521543.088971; b = 3561051.973717; cout = 260125229576.271759
a = 3521544.521154; b = 3570916.483866; cout = 259126055032.317657
a = 3521545.953337; b = 3580780.994016; cout = 258322235530.668365
a = 3521547.385520; b = 3590645.504165; cout = 257713771071.343781
a = 3521548.817703; b = 3600510.014314; cout = 257300661654.344757
a = 3521550.249886; b = 3610374.524464; cout = 257082907279.668396
a = 3521551.682069; b = 3620239.034613; cout = 257060507947.290100
a = 3521553.114252; b = 3630103.544762; cout = 257233463657.242157
a = 3521554.546435; b = 3639968.054912; cout = 257601774409.509888
a = 3521555.978618; b = 3649832.565061; cout = 258165440204.104431
a = 3521557.410801; b = 3659697.075211; cout = 258924461041.002747
a = 3521558.842984; b = 3669561.585360; cout = 259878836920.218658
a = 3521560.275167; b = 3679426.095509; cout = 261028567841.765747
a = 3521561.707350; b = 3689290.605659; cout = 262373653805.623932
a = 3521563.139533; b = 3699155.115808; cout = 263914094811.797974
a = 3521564.571716; b = 3709019.625957; cout = 265649890860.286346
a = 3521566.003898; b = 3718884.136107; cout = 267581041951.104523
a = 3521567.436081; b = 3728748.646256; cout = 269707548084.236725
a = 3521568.868264; b = 3738613.156405; cout = 272029409259.679871
a = 3521570.300447; b = 3748477.666555; cout = 274546625477.444122
a = 3521571.732630; b = 3758342.176704; cout = 277259196737.531006
a = 3521573.164813; b = 3768206.686854; cout = 280167123039.933777
a = 3521574.596996; b = 3778071.197003; cout = 283270404384.648071
a = 3521576.029179; b = 3787935.707152; cout = 286569040771.688110
a = 3521577.461362; b = 3797800.217302; cout = 290063032201.043396
a = 3521578.893545; b = 3807664.727451; cout = 293752378672.717407
a = 3521580.325728; b = 3817529.237600; cout = 297637080186.704407
a = 3521581.757911; b = 3827393.747750; cout = 301717136743.013245
a = 3521583.190094; b = 3837258.257899; cout = 305992548341.639221
a = 3521584.622277; b = 3847122.768049; cout = 310463314982.588684
a = 3521586.054460; b = 3856987.278198; cout = 315129436665.846741
a = 3521587.486643; b = 3866851.788347; cout = 319990913391.428772
a = 3521588.918826; b = 3876716.298497; cout = 325047745159.326843
a = 3521590.351009; b = 3886580.808646; cout = 330299931969.545227
a = 3521591.783192; b = 3896445.318795; cout = 335747473822.077209
a = 3521593.215375; b = 3906309.828945; cout = 341390370716.930603
a = 3521594.647558; b = 3916174.339094; cout = 347228622654.100525
a = 3521596.079741; b = 3926038.849244; cout = 353262229633.589539
a = 3521597.511924; b = 3935903.359393; cout = 359491191655.392151
a = 3521598.944107; b = 3945767.869542; cout = 365915508719.518860
a = 3521600.376290; b = 3955632.379692; cout = 372535180825.961853
a = 3521601.808473; b = 3965496.889841; cout = 379350207974.720032
a = 3521603.240656; b = 3975361.399990; cout = 386360590165.794739
a = 3521604.672839; b = 3985225.910140; cout = 393566327399.193298
a = 3521606.105022; b = 3995090.420289; cout = 400967419674.905640
a = 3521607.537205; b = 4004954.930438; cout = 408563866992.939331
a = 3521608.969388; b = 4014819.440588; cout = 416355669353.286865
a = 3521610.401571; b = 4024683.950737; cout = 424342826755.954712
a = 3521611.833754; b = 4034548.460887; cout = 432525339200.938721
a = 3521613.265937; b = 4044412.971036; cout = 440903206688.242371
a = 3521614.698120; b = 4054277.481185; cout = 449476429217.862244
a = 3521616.130303; b = 4064141.991335; cout = 458245006789.803284
a = 3521617.562486; b = 4074006.501484; cout = 467208939404.059692
a = 3521618.994669; b = 4083871.011633; cout = 476368227060.634521
a = 3521620.426852; b = 4093735.521783; cout = 485722869759.523071
a = 3521621.859035; b = 4103600.031932; cout = 495272867500.739258
a = 3521623.291218; b = 4113464.542082; cout = 505018220284.263367
a = 3521624.723401; b = 4123329.052231; cout = 514958928110.113342
a = 3521626.155584; b = 4133193.562380; cout = 525094990978.273865
a = 3521627.587767; b = 4143058.072530; cout = 535426408888.758606
a = 3521629.019950; b = 4152922.582679; cout = 545953181841.559692
