a = 3299112.316378; b = 6389998.786843; cout = 6752069965260.987305
a = 3299113.768247; b = 6399998.886938; cout = 6749670670589.755859
a = 3299115.220116; b = 6409998.987033; cout = 6747472138268.946289
a = 3299116.671984; b = 6419999.087128; cout = 6745474368298.474609
a = 3300114.723707; b = 6379998.832080; cout = 6717087022367.321289
a = 3300116.175576; b = 6389998.932175; cout = 6714778754560.668945
a = 3300117.627444; b = 6399999.032270; cout = 6712671249104.405273
a = 3300119.079313; b = 6409999.132365; cout = 6710764505998.520508
a = 3301115.679167; b = 6359998.777222; cout = 6684713690526.901367
a = 3301117.131036; b = 6369998.877317; cout = 6682295687234.430664
a = 3301118.582905; b = 6379998.977412; cout = 6680078446292.350586
a = 3301120.034773; b = 6389999.077507; cout = 6678061967700.661133
a = 3301121.486642; b = 6399999.177602; cout = 6676246251459.362305
a = 3302118.086496; b = 6349998.822459; cout = 6650022936290.203125
a = 3302119.538365; b = 6359998.922554; cout = 6647695959862.321289
a = 3302120.990233; b = 6369999.022649; cout = 6645569745784.821289
a = 3302122.442102; b = 6379999.122744; cout = 6643644294057.693359
a = 3302123.893971; b = 6389999.222839; cout = 6641919604680.958008
a = 3303120.493825; b = 6339998.867696; cout = 6615523789814.290039
a = 3303121.945694; b = 6349998.967791; cout = 6613287840251.014648
a = 3303123.397562; b = 6359999.067886; cout = 6611252653038.087891
a = 3303124.849431; b = 6369999.167981; cout = 6609418228175.544922
a = 3303126.301300; b = 6379999.268076; cout = 6607784565663.355469
a = 3304121.449285; b = 6319998.812838; cout = 6583561936148.310547
a = 3304122.901154; b = 6329998.912933; cout = 6581216251099.196289
a = 3304124.353023; b = 6339999.013028; cout = 6579071328400.469727
a = 3304125.804891; b = 6349999.113123; cout = 6577127168052.087891
a = 3304127.256760; b = 6359999.213218; cout = 6575383770054.113281
a = 3304128.708629; b = 6369999.313313; cout = 6573841134406.504883
a = 3305123.856614; b = 6309998.858075; cout = 6549354978329.436523
a = 3305125.308483; b = 6319998.958170; cout = 6547100320144.858398
a = 3305126.760351; b = 6329999.058265; cout = 6545046424310.693359
a = 3305128.212220; b = 6339999.158360; cout = 6543193290826.887695
a = 3305129.664089; b = 6349999.258455; cout = 6541540919693.497070
a = 3305131.115957; b = 6359999.358550; cout = 6540089310910.474609
a = 3306126.263943; b = 6299998.903312; cout = 6515339628271.287109
a = 3306127.715812; b = 6309999.003407; cout = 6513175996951.291016
a = 3306129.167680; b = 6319999.103502; cout = 6511213127981.699219
a = 3306130.619549; b = 6329999.203597; cout = 6509451021362.479492
a = 3306132.071418; b = 6339999.303692; cout = 6507889677093.654297
a = 3306133.523286; b = 6349999.403788; cout = 6506529095175.182617
a = 3307127.219403; b = 6279998.848454; cout = 6483789252779.704102
a = 3307128.671272; b = 6289998.948549; cout = 6481515885973.939453
a = 3307130.123140; b = 6299999.048644; cout = 6479443281518.498047
a = 3307131.575009; b = 6309999.148739; cout = 6477571439413.481445
a = 3307133.026878; b = 6319999.248834; cout = 6475900359658.837891
a = 3307134.478746; b = 6329999.348929; cout = 6474430042254.583008
a = 3307135.930615; b = 6339999.449025; cout = 6473160487200.680664
a = 3308129.626732; b = 6269998.893691; cout = 6450066091378.559570
a = 3308131.078601; b = 6279998.993786; cout = 6447883751437.364258
a = 3308132.530469; b = 6289999.093881; cout = 6445902173846.497070
a = 3308133.982338; b = 6299999.193976; cout = 6444121358606.077148
a = 3308135.434207; b = 6309999.294071; cout = 6442541305715.978516
a = 3308136.886075; b = 6319999.394167; cout = 6441162015176.299805
a = 3308138.337944; b = 6329999.494262; cout = 6439983486986.966797
a = 3309132.034061; b = 6259998.938928; cout = 6416534537738.200195
a = 3309133.485930; b = 6269999.039023; cout = 6414443224661.550781
a = 3309134.937798; b = 6279999.139118; cout = 6412552673935.308594
a = 3309136.389667; b = 6289999.239213; cout = 6410862885559.413086
a = 3309137.841536; b = 6299999.339308; cout = 6409373859533.888672
a = 3309139.293404; b = 6309999.439404; cout = 6408085595858.776367
a = 3309140.745273; b = 6319999.539499; cout = 6406998094534.015625
a = 3310134.441390; b = 6249998.984165; cout = 6383194591858.595703
a = 3310135.893258; b = 6259999.084260; cout = 6381194305646.538086
a = 3310137.345127; b = 6269999.184355; cout = 6379394781784.862305
